source_type,source_file,brand,topic,sentiment,title,text,chunk_id
topic_summary,data\camera_sentiment_label.xlsx,ALL,Unassigned,ALL,Topic summary - Unassigned,"Topic summary for Unassigned.
Review volume: 3 reviews (0.07% of all reviews).
Most associated brand by volume: Fujifilm (富士) (2 reviews).
Brand with highest average positive score in this topic: Fujifilm (富士).
Brand with highest average negative score in this topic: Sony (索尼).
Brand distribution within topic: Fujifilm (富士): 2 (66.67%); Sony (索尼): 1 (33.33%).
Average sentiment scores within topic: positive=0.925, neutral=0.066, negative=0.009.
Average auxiliary scores within topic: referral=0.000, community=0.000, discussion=0.000.",chunk_00010
brand_topic_summary,data\camera_sentiment_label.xlsx,佳能,Appearance & Satisfaction,ALL,Brand-topic summary - Canon (佳能) - Appearance & Satisfaction,"Brand-topic summary for Canon (佳能) on Appearance & Satisfaction.
Review volume in this slice: 250.
Dominant rule-based sentiment: positive (250 reviews).
Dominant model-predicted sentiment: positive (250 reviews).
Average sentiment scores: positive=0.921, neutral=0.069, negative=0.009.
Average auxiliary scores: referral=0.009, community=0.000, discussion=0.004.",chunk_00011
brand_topic_summary,data\camera_sentiment_label.xlsx,佳能,Design & Portability,ALL,Brand-topic summary - Canon (佳能) - Design & Portability,"Brand-topic summary for Canon (佳能) on Design & Portability.
Review volume in this slice: 218.
Dominant rule-based sentiment: positive (218 reviews).
Dominant model-predicted sentiment: positive (218 reviews).
Average sentiment scores: positive=0.966, neutral=0.030, negative=0.003.
Average auxiliary scores: referral=0.007, community=0.000, discussion=0.002.",chunk_00012
brand_topic_summary,data\camera_sentiment_label.xlsx,佳能,Logistics & Service,ALL,Brand-topic summary - Canon (佳能) - Logistics & Service,"Brand-topic summary for Canon (佳能) on Logistics & Service.
Review volume in this slice: 597.
Dominant rule-based sentiment: positive (597 reviews).
Dominant model-predicted sentiment: positive (597 reviews).
Average sentiment scores: positive=0.924, neutral=0.067, negative=0.009.
Average auxiliary scores: referral=0.019, community=0.000, discussion=0.014.",chunk_00013
brand_topic_summary,data\camera_sentiment_label.xlsx,佳能,Performance & Quality,ALL,Brand-topic summary - Canon (佳能) - Performance & Quality,"Brand-topic summary for Canon (佳能) on Performance & Quality.
Review volume in this slice: 221.
Dominant rule-based sentiment: positive (221 reviews).
Dominant model-predicted sentiment: positive (221 reviews).
Average sentiment scores: positive=0.930, neutral=0.062, negative=0.008.
Average auxiliary scores: referral=0.019, community=0.001, discussion=0.003.",chunk_00014
brand_topic_summary,data\camera_sentiment_label.xlsx,富士,Appearance & Satisfaction,ALL,Brand-topic summary - Fujifilm (富士) - Appearance & Satisfaction,"Brand-topic summary for Fujifilm (富士) on Appearance & Satisfaction.
Review volume in this slice: 310.
Dominant rule-based sentiment: positive (310 reviews).
Dominant model-predicted sentiment: positive (310 reviews).
Average sentiment scores: positive=0.897, neutral=0.091, negative=0.012.
Average auxiliary scores: referral=0.011, community=0.000, discussion=0.001.",chunk_00015
brand_topic_summary,data\camera_sentiment_label.xlsx,富士,Design & Portability,ALL,Brand-topic summary - Fujifilm (富士) - Design & Portability,"Brand-topic summary for Fujifilm (富士) on Design & Portability.
Review volume in this slice: 64.
Dominant rule-based sentiment: positive (64 reviews).
Dominant model-predicted sentiment: positive (64 reviews).
Average sentiment scores: positive=0.952, neutral=0.043, negative=0.005.
Average auxiliary scores: referral=0.005, community=0.000, discussion=0.005.",chunk_00016
brand_topic_summary,data\camera_sentiment_label.xlsx,富士,Logistics & Service,ALL,Brand-topic summary - Fujifilm (富士) - Logistics & Service,"Brand-topic summary for Fujifilm (富士) on Logistics & Service.
Review volume in this slice: 382.
Dominant rule-based sentiment: positive (382 reviews).
Dominant model-predicted sentiment: positive (382 reviews).
Average sentiment scores: positive=0.907, neutral=0.082, negative=0.012.
Average auxiliary scores: referral=0.034, community=0.000, discussion=0.008.",chunk_00017
brand_topic_summary,data\camera_sentiment_label.xlsx,富士,Performance & Quality,ALL,Brand-topic summary - Fujifilm (富士) - Performance & Quality,"Brand-topic summary for Fujifilm (富士) on Performance & Quality.
Review volume in this slice: 124.
Dominant rule-based sentiment: positive (124 reviews).
Dominant model-predicted sentiment: positive (124 reviews).
Average sentiment scores: positive=0.907, neutral=0.082, negative=0.011.
Average auxiliary scores: referral=0.033, community=0.001, discussion=0.004.",chunk_00018
brand_topic_summary,data\camera_sentiment_label.xlsx,尼康,Appearance & Satisfaction,ALL,Brand-topic summary - Nikon (尼康) - Appearance & Satisfaction,"Brand-topic summary for Nikon (尼康) on Appearance & Satisfaction.
Review volume in this slice: 211.
Dominant rule-based sentiment: positive (211 reviews).
Dominant model-predicted sentiment: positive (211 reviews).
Average sentiment scores: positive=0.915, neutral=0.075, negative=0.010.
Average auxiliary scores: referral=0.011, community=0.000, discussion=0.005.",chunk_00019
brand_topic_summary,data\camera_sentiment_label.xlsx,尼康,Design & Portability,ALL,Brand-topic summary - Nikon (尼康) - Design & Portability,"Brand-topic summary for Nikon (尼康) on Design & Portability.
Review volume in this slice: 169.
Dominant rule-based sentiment: positive (169 reviews).
Dominant model-predicted sentiment: positive (169 reviews).
Average sentiment scores: positive=0.975, neutral=0.024, negative=0.002.
Average auxiliary scores: referral=0.005, community=0.000, discussion=0.008.",chunk_00020
brand_topic_summary,data\camera_sentiment_label.xlsx,尼康,Logistics & Service,ALL,Brand-topic summary - Nikon (尼康) - Logistics & Service,"Brand-topic summary for Nikon (尼康) on Logistics & Service.
Review volume in this slice: 402.
Dominant rule-based sentiment: positive (402 reviews).
Dominant model-predicted sentiment: positive (402 reviews).
Average sentiment scores: positive=0.916, neutral=0.073, negative=0.010.
Average auxiliary scores: referral=0.015, community=0.000, discussion=0.016.",chunk_00021
brand_topic_summary,data\camera_sentiment_label.xlsx,尼康,Performance & Quality,ALL,Brand-topic summary - Nikon (尼康) - Performance & Quality,"Brand-topic summary for Nikon (尼康) on Performance & Quality.
Review volume in this slice: 280.
Dominant rule-based sentiment: positive (277 reviews).
Dominant model-predicted sentiment: positive (277 reviews).
Average sentiment scores: positive=0.911, neutral=0.078, negative=0.010.
Average auxiliary scores: referral=0.013, community=0.002, discussion=0.005.",chunk_00022
brand_topic_summary,data\camera_sentiment_label.xlsx,索尼,Appearance & Satisfaction,ALL,Brand-topic summary - Sony (索尼) - Appearance & Satisfaction,"Brand-topic summary for Sony (索尼) on Appearance & Satisfaction.
Review volume in this slice: 198.
Dominant rule-based sentiment: positive (198 reviews).
Dominant model-predicted sentiment: positive (198 reviews).
Average sentiment scores: positive=0.910, neutral=0.079, negative=0.010.
Average auxiliary scores: referral=0.010, community=0.001, discussion=0.007.",chunk_00023
brand_topic_summary,data\camera_sentiment_label.xlsx,索尼,Design & Portability,ALL,Brand-topic summary - Sony (索尼) - Design & Portability,"Brand-topic summary for Sony (索尼) on Design & Portability.
Review volume in this slice: 210.
Dominant rule-based sentiment: positive (210 reviews).
Dominant model-predicted sentiment: positive (210 reviews).
Average sentiment scores: positive=0.969, neutral=0.028, negative=0.002.
Average auxiliary scores: referral=0.007, community=0.000, discussion=0.006.",chunk_00024
brand_topic_summary,data\camera_sentiment_label.xlsx,索尼,Logistics & Service,ALL,Brand-topic summary - Sony (索尼) - Logistics & Service,"Brand-topic summary for Sony (索尼) on Logistics & Service.
Review volume in this slice: 273.
Dominant rule-based sentiment: positive (273 reviews).
Dominant model-predicted sentiment: positive (273 reviews).
Average sentiment scores: positive=0.921, neutral=0.069, negative=0.010.
Average auxiliary scores: referral=0.028, community=0.000, discussion=0.015.",chunk_00025
brand_topic_summary,data\camera_sentiment_label.xlsx,索尼,Performance & Quality,ALL,Brand-topic summary - Sony (索尼) - Performance & Quality,"Brand-topic summary for Sony (索尼) on Performance & Quality.
Review volume in this slice: 258.
Dominant rule-based sentiment: positive (258 reviews).
Dominant model-predicted sentiment: positive (258 reviews).
Average sentiment scores: positive=0.922, neutral=0.069, negative=0.009.
Average auxiliary scores: referral=0.018, community=0.003, discussion=0.004.",chunk_00026
review_evidence,data\camera_sentiment_label.xlsx,佳能,Appearance & Satisfaction,positive,Review evidence - Canon (佳能) - Appearance & Satisfaction - positive,"Representative review evidence.
Brand: Canon (佳能).
Topic: Appearance & Satisfaction.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2023-11-09.
Product spec: R50 黑色  EOS R50【RF-S18-45镜头套机】.
Review text: 产品包装：京东包装挺好的，有蛮多保护措施的
外形外观：买的黑色，怕白色后面镜头不好选
成像效果：第一台相机，还在学习拍照阶段，还没时间出去拍拍，就在家里试了下，效果对我来说可以了，期待出去玩拍更多好看的照片
便携性能：女孩子手拿着也挺方便的，也不重，携带方便
Scores: positive=0.995, neutral=0.005, negative=0.000, referral=0.000, community=0.000, discussion=0.000.",chunk_00027
review_evidence,data\camera_sentiment_label.xlsx,佳能,Appearance & Satisfaction,positive,Review evidence - Canon (佳能) - Appearance & Satisfaction - positive,"Representative review evidence.
Brand: Canon (佳能).
Topic: Appearance & Satisfaction.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2025-12-28.
Product spec: R50黑色拆单机+RF28 2.8【人像饼干头】 官方标配【京东多仓发~快可次日达】.
Review text: 第一次选相机很纠结 还是选择了佳能 很好用 新手也可以直接操作 拍出来的照片很清晰没踩雷 很喜欢
Scores: positive=0.993, neutral=0.006, negative=0.001, referral=0.000, community=0.000, discussion=0.000.",chunk_00028
review_evidence,data\camera_sentiment_label.xlsx,佳能,Appearance & Satisfaction,positive,Review evidence - Canon (佳能) - Appearance & Satisfaction - positive,"Representative review evidence.
Brand: Canon (佳能).
Topic: Appearance & Satisfaction.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2026-02-15.
Product spec: R50 黑色  R50 18-45镜头套机.
Review text: 很适合女孩子小巧精致轻便好用！很喜欢拍照也很好看 很喜欢
Scores: positive=0.992, neutral=0.007, negative=0.001, referral=0.000, community=0.000, discussion=0.000.",chunk_00029
review_evidence,data\camera_sentiment_label.xlsx,佳能,Design & Portability,positive,Review evidence - Canon (佳能) - Design & Portability - positive,"Representative review evidence.
Brand: Canon (佳能).
Topic: Design & Portability.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2023-11-05.
Product spec: R50 黑色  EOS R50【RF-S18-45镜头套机】.
Review text: 产品包装：包装完好，外面有个大箱子，里面还放了防撞垫子，避免撞伤，相机盒子里面也做了防撞保护
外形外观：相机外观小巧精致可爱，适合小女生拍照，用来记录日常生活也足够了
成像效果：成像颜色很不错，看着很圆润，人像拍出来很好看
反应速度：反应还不错吧，整体自我感觉
便携性能：方便携带，很小巧，微单主要就是方便才购买的。用于家庭日常，毕竟不是专业摄影。
Scores: positive=0.999, neutral=0.001, negative=0.000, referral=0.000, community=0.000, discussion=0.000.",chunk_00030
review_evidence,data\camera_sentiment_label.xlsx,佳能,Design & Portability,positive,Review evidence - Canon (佳能) - Design & Portability - positive,"Representative review evidence.
Brand: Canon (佳能).
Topic: Design & Portability.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2023-05-05.
Product spec: R50 黑色  EOS R50【RF-S18-45镜头套机】.
Review text: 外形外观：经典好看
产品包装：很有创意
成像效果：成像效果真的爱了
反应速度：很快
便携性能：性能强，城乡效果好，性价比高
Scores: positive=0.999, neutral=0.001, negative=0.000, referral=0.000, community=0.000, discussion=0.000.",chunk_00031
review_evidence,data\camera_sentiment_label.xlsx,佳能,Design & Portability,positive,Review evidence - Canon (佳能) - Design & Portability - positive,"Representative review evidence.
Brand: Canon (佳能).
Topic: Design & Portability.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2024-06-10.
Product spec: R50白色 RF-S18-45套机 套餐二【套餐二免费升级套餐三~强烈建议套餐二】.
Review text: 产品包装：完好无损
反应速度：很快
便携性能：方便携带，大小正合适
外形外观：白色款，很不错，我很喜欢
成像效果：拍了家里猫咪，试拍的，效果很好
其他特色：是正品，三码合一！
Scores: positive=0.999, neutral=0.001, negative=0.000, referral=0.000, community=0.000, discussion=0.000.",chunk_00032
review_evidence,data\camera_sentiment_label.xlsx,佳能,Logistics & Service,positive,Review evidence - Canon (佳能) - Logistics & Service - positive,"Representative review evidence.
Brand: Canon (佳能).
Topic: Logistics & Service.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2025-12-22.
Product spec: R50拆单机身白+（128G卡*2+背包+电池） 官方标配（赠6期免息）.
Review text: 很喜欢，功能非常多，画质清晰，是正品，很满意
Scores: positive=0.997, neutral=0.002, negative=0.000, referral=0.000, community=0.000, discussion=0.000.",chunk_00033
review_evidence,data\camera_sentiment_label.xlsx,佳能,Logistics & Service,positive,Review evidence - Canon (佳能) - Logistics & Service - positive,"Representative review evidence.
Brand: Canon (佳能).
Topic: Logistics & Service.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2025-04-20.
Product spec: EOS R50黑 单机身旅行版 （拆）.
Review text: 选了很久选了这一款，很喜欢，刚收到还不会怎么用，会慢慢学习拍好看的照片，非常满意
Scores: positive=0.997, neutral=0.002, negative=0.000, referral=0.000, community=0.000, discussion=0.000.",chunk_00034
review_evidence,data\camera_sentiment_label.xlsx,佳能,Logistics & Service,positive,Review evidence - Canon (佳能) - Logistics & Service - positive,"Representative review evidence.
Brand: Canon (佳能).
Topic: Logistics & Service.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2024-10-16.
Product spec: 黑色 RF-S18-45+RF50 1.8双头套装 套餐一【含128G内存卡~送豪华摄影大礼包】.
Review text: 佳能·感动常在
外形外观：好看
成像效果：超赞
产品包装：嘎嘎稳当
反应速度：快
触屏相当好用
Scores: positive=0.996, neutral=0.003, negative=0.000, referral=0.000, community=0.000, discussion=0.000.",chunk_00035
review_evidence,data\camera_sentiment_label.xlsx,佳能,Performance & Quality,positive,Review evidence - Canon (佳能) - Performance & Quality - positive,"Representative review evidence.
Brand: Canon (佳能).
Topic: Performance & Quality.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2025-07-05.
Product spec: 黑色 RF-S18-45+RF50 1.8双头套装 套餐二【套餐二免费升级套餐三~强烈建议套餐二】.
Review text: 佳能R50轻巧便携，画质细腻，对焦迅速，操作简单易上手。高感表现出色，视频拍摄流畅，性价比超高。佳能感动常在，记录生活美好瞬间，非常适合摄影新手，强烈推荐！
Scores: positive=0.996, neutral=0.004, negative=0.000, referral=0.111, community=0.000, discussion=0.000.",chunk_00036
review_evidence,data\camera_sentiment_label.xlsx,佳能,Performance & Quality,positive,Review evidence - Canon (佳能) - Performance & Quality - positive,"Representative review evidence.
Brand: Canon (佳能).
Topic: Performance & Quality.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2025-07-10.
Product spec: EOS R50(RF-S 18-45套装）白旅行版 官方标配（赠3期免息）.
Review text: 操作友好，画质清晰，功能丰富。性价比高，颜值高。携带方便。非常喜欢
Scores: positive=0.995, neutral=0.004, negative=0.000, referral=0.000, community=0.000, discussion=0.000.",chunk_00037
review_evidence,data\camera_sentiment_label.xlsx,佳能,Performance & Quality,positive,Review evidence - Canon (佳能) - Performance & Quality - positive,"Representative review evidence.
Brand: Canon (佳能).
Topic: Performance & Quality.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2025-11-30.
Product spec: R50黑色 RF-S18-45套机 官方标配【京东多仓发~快可次日达】.
Review text: 性价比高，拍照很清晰，录制视频也很清晰，机器小巧轻便，人像和风景照都很不错，女朋友很喜欢，好评，佳能·感动常在
Scores: positive=0.995, neutral=0.005, negative=0.000, referral=0.111, community=0.000, discussion=0.000.",chunk_00038
review_evidence,data\camera_sentiment_label.xlsx,富士,Appearance & Satisfaction,positive,Review evidence - Fujifilm (富士) - Appearance & Satisfaction - positive,"Representative review evidence.
Brand: Fujifilm (富士).
Topic: Appearance & Satisfaction.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2025-06-11.
Product spec: 黑色15-45套机.
Review text: 产品包装：包装很素，就是普通硬板纸原色
外形外观：外形真的小巧，但是你要知道越小巧握持感越差，买到一件事就买好带手柄的皮套。
成像效果：都买富士了，要什么清晰度，玩的是胶片模拟和颜色。
Scores: positive=0.996, neutral=0.004, negative=0.000, referral=0.000, community=0.000, discussion=0.000.",chunk_00039
review_evidence,data\camera_sentiment_label.xlsx,富士,Appearance & Satisfaction,positive,Review evidence - Fujifilm (富士) - Appearance & Satisfaction - positive,"Representative review evidence.
Brand: Fujifilm (富士).
Topic: Appearance & Satisfaction.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2025-09-24.
Product spec: 银色15-45套机.
Review text: 小巧轻便，该有的功能滤镜也都有，性价比高。
Scores: positive=0.996, neutral=0.004, negative=0.001, referral=0.000, community=0.000, discussion=0.000.",chunk_00040
review_evidence,data\camera_sentiment_label.xlsx,富士,Appearance & Satisfaction,positive,Review evidence - Fujifilm (富士) - Appearance & Satisfaction - positive,"Representative review evidence.
Brand: Fujifilm (富士).
Topic: Appearance & Satisfaction.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2024-12-20.
Product spec: 黑色15-45套机.
Review text: 照相机很好用，性价比很高，最喜欢就是这款照相机了，携带方便，去哪里都很出片，真的很喜欢这个太爱了。还不是说很喜欢这台照相机，我的天啊，太棒了吧
Scores: positive=0.994, neutral=0.006, negative=0.001, referral=0.000, community=0.000, discussion=0.000.",chunk_00041
review_evidence,data\camera_sentiment_label.xlsx,富士,Design & Portability,positive,Review evidence - Fujifilm (富士) - Design & Portability - positive,"Representative review evidence.
Brand: Fujifilm (富士).
Topic: Design & Portability.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2025-10-30.
Product spec: 黑色XC35套机.
Review text: 绝美 心动很久了 终于拥有了 很好看 爱 非常好非常喜欢嘿嘿
产品包装：完美
外形外观：好看的 价格又便宜
成像效果：很好
便携性能：很方便
其他特色：很实用 喜欢
反应速度：很快 多多拍照吧 记录美好生活
Scores: positive=0.997, neutral=0.003, negative=0.000, referral=0.000, community=0.000, discussion=0.000.",chunk_00042
review_evidence,data\camera_sentiment_label.xlsx,富士,Design & Portability,positive,Review evidence - Fujifilm (富士) - Design & Portability - positive,"Representative review evidence.
Brand: Fujifilm (富士).
Topic: Design & Portability.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2025-06-10.
Product spec: 黑色XC35套机.
Review text: 不错不错 非常好看 是我喜欢的 哈哈 我也是小小摄影师啦
产品包装：严实
外形外观：小巧
成像效果：很好
反应速度：块
Scores: positive=0.997, neutral=0.003, negative=0.000, referral=0.000, community=0.000, discussion=0.000.",chunk_00043
review_evidence,data\camera_sentiment_label.xlsx,富士,Design & Portability,positive,Review evidence - Fujifilm (富士) - Design & Portability - positive,"Representative review evidence.
Brand: Fujifilm (富士).
Topic: Design & Portability.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2025-10-17.
Product spec: 黑色XC35套机.
Review text: 产品包装：包装很好没有破损
外形外观：外观时尚好看 大人非常喜欢 送礼非常有面子
成像效果：效果好 尤其是拍摄视频 人像模式好
反应速度：反应灵敏 快捷 操作简单
便携性能：携带方便
Scores: positive=0.996, neutral=0.003, negative=0.000, referral=0.000, community=0.000, discussion=0.000.",chunk_00044
review_evidence,data\camera_sentiment_label.xlsx,富士,Logistics & Service,positive,Review evidence - Fujifilm (富士) - Logistics & Service - positive,"Representative review evidence.
Brand: Fujifilm (富士).
Topic: Logistics & Service.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2025-03-16.
Product spec: 银色机身.
Review text: 产品包装：严密安全，非常不错，对产品保护很好
反应速度：点赞，不愧是富士
终于是被我抢到了，非常满意，五星好评，非常满意，不错，性价比极高，真好，抢到原价
Scores: positive=0.995, neutral=0.005, negative=0.000, referral=0.000, community=0.000, discussion=0.000.",chunk_00045
review_evidence,data\camera_sentiment_label.xlsx,富士,Logistics & Service,positive,Review evidence - Fujifilm (富士) - Logistics & Service - positive,"Representative review evidence.
Brand: Fujifilm (富士).
Topic: Logistics & Service.
Rule-based sentiment: positive.
Model-predicted sentiment: positive.
Date: 2025-10-18.
Product spec: 银色15-45套机.
Review text: 哇哦，真的很厉害，自己能抢到原价，这款相机非常合适我，价格不贵，性价比很高，相机大小合适，拿到手上很舒服，相机功能也很好，值得推荐
Scores: positive=0.994, neutral=0.005, negative=0.001, referral=0.111, community=0.000, discussion=0.000.",chunk_00046
